59493.466254	 437383350.000	   7.132	9990
59493.466266	 437383350.000	   6.420	9990
59493.466277	 437383300.000	   7.342	9990
59493.466289	 437383300.000	   7.744	9990
59493.466312	 437383200.000	   5.964	9990
59493.466381	 437383050.000	   6.533	9990
59493.466393	 437383000.000	   5.732	9990
59493.466405	 437383000.000	   8.682	9990
59493.466416	 437382950.000	  15.270	9990
59493.466439	 437382900.000	  14.965	9990
59493.466451	 437382850.000	  12.020	9990
59493.466462	 437382850.000	  12.191	9990
59493.466474	 437382800.000	  13.808	9990
59493.466486	 437382750.000	   8.658	9990
59493.466497	 437382750.000	  18.323	9990
59493.466509	 437382700.000	  18.303	9990
59493.466520	 437382700.000	  10.467	9990
59493.466532	 437382650.000	   9.687	9990
59493.466543	 437382600.000	  15.180	9990
59493.466555	 437382600.000	  12.239	9990
59493.466567	 437382550.000	  15.682	9990
59493.466578	 437382550.000	   5.004	9990
59493.467585	 437378800.000	  13.375	9990
59493.467689	 437378350.000	   5.014	9990
59493.467724	 437378200.000	   6.563	9990
59493.467735	 437378150.000	   7.910	9990
59493.467770	 437378000.000	   6.553	9990
59493.467794	 437377900.000	   5.036	9990
59493.467817	 437377800.000	   9.362	9990
59493.467828	 437377750.000	  10.776	9990
59493.467840	 437377750.000	   6.821	9990
59493.467851	 437377650.000	   6.418	9990
59493.467863	 437377600.000	   9.510	9990
59493.467874	 437377550.000	   6.270	9990
59493.467886	 437377500.000	   6.398	9990
59493.467898	 437377450.000	  11.792	9990
59493.467909	 437377400.000	   6.850	9990
59493.467969	 437377150.000	   5.712	9990
59493.469020	 437372950.000	   5.453	9990
59493.469043	 437372850.000	   6.131	9990
59493.469055	 437372850.000	   7.296	9990
59493.469067	 437372800.000	   5.726	9990
59493.469078	 437372750.000	   8.455	9990
59493.469101	 437372700.000	   7.438	9990
59493.469148	 437372550.000	   5.536	9990
59493.469171	 437372500.000	  12.204	9990
59493.469182	 437372450.000	  15.638	9990
59493.469194	 437372400.000	  18.563	9990
59493.469205	 437372400.000	  10.658	9990
59493.469217	 437372350.000	  12.808	9990
59493.532714	 437386400.000	   6.038	9990
59493.532726	 437386400.000	   9.454	9990
59493.532737	 437386350.000	   5.852	9990
59493.532749	 437386350.000	  10.746	9990
59493.532760	 437386350.000	  14.715	9990
59493.532772	 437386350.000	   6.698	9990
59493.532876	 437386200.000	  11.354	9990
59493.532887	 437386200.000	   5.713	9990
59493.533073	 437385950.000	   6.083	9990
59493.533918	 437383050.000	   5.473	9990
59493.533929	 437383000.000	   6.704	9990
59493.533999	 437382550.000	   6.609	9990
59493.534010	 437382500.000	  14.692	9990
59493.534022	 437382450.000	  11.337	9990
59493.534033	 437382350.000	  12.451	9990
59493.534045	 437382300.000	  13.461	9990
59493.534056	 437382200.000	  17.492	9990
59493.534068	 437382100.000	  16.924	9990
59493.534079	 437382050.000	  20.205	9990
59493.534091	 437381950.000	  16.233	9990
59493.534103	 437381900.000	  20.245	9990
59493.534114	 437381800.000	  16.243	9990
59493.534126	 437381750.000	  16.452	9990
59493.534138	 437381650.000	  17.306	9990
59493.534149	 437381550.000	  12.079	9990
59493.534161	 437381500.000	   7.841	9990
59493.534276	 437380600.000	   6.403	9990
59493.534288	 437380500.000	   5.301	9990
59493.534311	 437380350.000	   8.139	9990
59493.534323	 437380200.000	  12.500	9990
59493.534334	 437380150.000	  10.397	9990
59493.534346	 437380000.000	  11.632	9990
59493.534357	 437379900.000	  11.996	9990
59493.534369	 437379800.000	  13.919	9990
59493.534380	 437379650.000	  14.930	9990
59493.534392	 437379600.000	  14.542	9990
59493.534404	 437379450.000	   8.746	9990
59493.534415	 437379350.000	  13.668	9990
59493.534427	 437379250.000	  13.693	9990
59493.534438	 437379200.000	   9.234	9990
59493.535202	 437372450.000	  15.589	9990
59493.535214	 437372350.000	  17.300	9990
59493.535225	 437372300.000	  30.285	9990
59493.535237	 437372250.000	  13.882	9990
59493.535248	 437372150.000	  21.215	9990
59493.535260	 437372100.000	  15.571	9990
59493.535272	 437372000.000	  24.328	9990
59493.535283	 437371950.000	  27.160	9990
59493.535295	 437371900.000	  21.755	9990
59493.535306	 437371800.000	  20.674	9990
59493.535318	 437371750.000	  19.336	9990
59493.535330	 437371650.000	  18.628	9990
59493.535341	 437371600.000	  23.611	9990
59493.535353	 437371550.000	  25.907	9990
59493.535364	 437371500.000	  15.593	9990
59493.535376	 437371400.000	  22.486	9990
59493.535387	 437371350.000	  30.106	9990
59493.535399	 437371300.000	  36.214	9990
59493.535411	 437371250.000	  28.954	9990
59493.535422	 437371200.000	  23.323	9990
59493.535434	 437371150.000	  17.864	9990
59493.535445	 437371050.000	  14.341	9990
59493.535457	 437371000.000	  15.404	9990
59493.535468	 437371000.000	  14.740	9990
59493.535480	 437370950.000	  13.128	9990
59493.535492	 437370850.000	  21.105	9990
59493.535503	 437370800.000	  23.886	9990
59493.535515	 437370750.000	  21.163	9990
59493.535526	 437370700.000	  28.507	9990
59493.535538	 437370650.000	  31.890	9990
59493.535550	 437370600.000	  32.165	9990
59493.535561	 437370550.000	  31.733	9990
59493.535572	 437370500.000	  24.677	9990
59493.535700	 437370000.000	   9.094	9990
59493.535712	 437369950.000	   8.951	9990
59493.535723	 437369950.000	   6.664	9990
59493.535746	 437369850.000	  10.630	9990
59493.535758	 437369800.000	   7.927	9990
59493.535781	 437369750.000	   6.558	9990
59493.535792	 437369700.000	  11.167	9990
59493.535804	 437369650.000	  18.948	9990
59493.535816	 437369600.000	  10.453	9990
59493.536603	 437368250.000	   7.393	9990
